Component,VulnID,CVSS_Base,EPSS_Prob,Classic_Score,Priority
comp-25,CVE-2023-THE-ONE,8.0,0.9500,0.875,Critical
comp-0,CVE-2023-NOISE-0,8.0,0.0100,0.405,Medium
comp-1,CVE-2023-NOISE-1,8.0,0.0100,0.405,Medium
comp-2,CVE-2023-NOISE-2,8.0,0.0100,0.405,Medium
comp-3,CVE-2023-NOISE-3,8.0,0.0100,0.405,Medium
comp-4,CVE-2023-NOISE-4,8.0,0.0100,0.405,Medium
comp-5,CVE-2023-NOISE-5,8.0,0.0100,0.405,Medium
comp-6,CVE-2023-NOISE-6,8.0,0.0100,0.405,Medium
comp-7,CVE-2023-NOISE-7,8.0,0.0100,0.405,Medium
comp-8,CVE-2023-NOISE-8,8.0,0.0100,0.405,Medium
comp-9,CVE-2023-NOISE-9,8.0,0.0100,0.405,Medium
comp-10,CVE-2023-NOISE-10,8.0,0.0100,0.405,Medium
comp-11,CVE-2023-NOISE-11,8.0,0.0100,0.405,Medium
comp-12,CVE-2023-NOISE-12,8.0,0.0100,0.405,Medium
comp-13,CVE-2023-NOISE-13,8.0,0.0100,0.405,Medium
comp-14,CVE-2023-NOISE-14,8.0,0.0100,0.405,Medium
comp-15,CVE-2023-NOISE-15,8.0,0.0100,0.405,Medium
comp-16,CVE-2023-NOISE-16,8.0,0.0100,0.405,Medium
comp-17,CVE-2023-NOISE-17,8.0,0.0100,0.405,Medium
comp-18,CVE-2023-NOISE-18,8.0,0.0100,0.405,Medium
comp-19,CVE-2023-NOISE-19,8.0,0.0100,0.405,Medium
comp-20,CVE-2023-NOISE-20,8.0,0.0100,0.405,Medium
comp-21,CVE-2023-NOISE-21,8.0,0.0100,0.405,Medium
comp-22,CVE-2023-NOISE-22,8.0,0.0100,0.405,Medium
comp-23,CVE-2023-NOISE-23,8.0,0.0100,0.405,Medium
comp-24,CVE-2023-NOISE-24,8.0,0.0100,0.405,Medium
comp-26,CVE-2023-NOISE-26,8.0,0.0100,0.405,Medium
comp-27,CVE-2023-NOISE-27,8.0,0.0100,0.405,Medium
comp-28,CVE-2023-NOISE-28,8.0,0.0100,0.405,Medium
comp-29,CVE-2023-NOISE-29,8.0,0.0100,0.405,Medium
comp-30,CVE-2023-NOISE-30,8.0,0.0100,0.405,Medium
comp-31,CVE-2023-NOISE-31,8.0,0.0100,0.405,Medium
comp-32,CVE-2023-NOISE-32,8.0,0.0100,0.405,Medium
comp-33,CVE-2023-NOISE-33,8.0,0.0100,0.405,Medium
comp-34,CVE-2023-NOISE-34,8.0,0.0100,0.405,Medium
comp-35,CVE-2023-NOISE-35,8.0,0.0100,0.405,Medium
comp-36,CVE-2023-NOISE-36,8.0,0.0100,0.405,Medium
comp-37,CVE-2023-NOISE-37,8.0,0.0100,0.405,Medium
comp-38,CVE-2023-NOISE-38,8.0,0.0100,0.405,Medium
comp-39,CVE-2023-NOISE-39,8.0,0.0100,0.405,Medium
comp-40,CVE-2023-NOISE-40,8.0,0.0100,0.405,Medium
comp-41,CVE-2023-NOISE-41,8.0,0.0100,0.405,Medium
comp-42,CVE-2023-NOISE-42,8.0,0.0100,0.405,Medium
comp-43,CVE-2023-NOISE-43,8.0,0.0100,0.405,Medium
comp-44,CVE-2023-NOISE-44,8.0,0.0100,0.405,Medium
comp-45,CVE-2023-NOISE-45,8.0,0.0100,0.405,Medium
comp-46,CVE-2023-NOISE-46,8.0,0.0100,0.405,Medium
comp-47,CVE-2023-NOISE-47,8.0,0.0100,0.405,Medium
comp-48,CVE-2023-NOISE-48,8.0,0.0100,0.405,Medium
comp-49,CVE-2023-NOISE-49,8.0,0.0100,0.405,Medium
