Component,VulnID,CVSS_Base,EPSS_Prob,Classic_Score,Priority
golang.org/x/net,CVE-2023-44487,8.0,0.9445,0.872,Critical
golang.org/x/crypto,CVE-2023-48795,9.4,0.5786,0.759,High
github.com/docker/docker,CVE-2024-41110,10.0,0.0323,0.516,Medium
github.com/containerd/containerd,CVE-2022-23648,8.7,0.0872,0.479,Medium
gopkg.in/yaml.v3,CVE-2022-28948,8.6,0.0152,0.438,Medium
github.com/open-policy-agent/opa,CVE-2022-33082,8.6,0.0109,0.435,Medium
github.com/docker/distribution,GHSA-qq97-vm5h-rrhg,8.7,0.0000,0.435,Medium
google.golang.org/protobuf,CVE-2024-24786,8.6,0.0023,0.431,Medium
golang.org/x/oauth2,CVE-2025-22868,8.6,0.0009,0.430,Medium
golang.org/x/text,CVE-2022-32149,8.6,0.0005,0.430,Medium
google.golang.org/grpc,GHSA-m425-mq94-257g,8.6,0.0000,0.430,Medium
gopkg.in/square/go-jose.v2,CVE-2024-28180,8.0,0.0364,0.418,Medium
golang.org/x/sys,CVE-2022-29526,8.0,0.0018,0.401,Medium
github.com/ulikunitz/xz,CVE-2025-58058,8.0,0.0006,0.400,Medium
github.com/sirupsen/logrus,CVE-2025-65637,7.5,0.0003,0.375,Low
filippo.io/age,GHSA-32gq-x56h-299c,5.0,0.0000,0.250,Low
github.com/hashicorp/go-retryablehttp,CVE-2024-6104,4.7,0.0004,0.235,Low
filippo.io/edwards25519,CVE-2026-26958,2.5,0.0004,0.125,Low
