Component,VulnID,CVSS_Base,EPSS_Prob,Classic_Score,Priority
lodash.pick,CVE-2020-8203,10.0,0.0261,0.513,Medium
xmldom,CVE-2022-39353,10.0,0.0127,0.506,Medium
crypto-js,CVE-2023-46233,9.4,0.0082,0.474,Medium
brace-expansion,CVE-2025-5889,8.7,0.0003,0.435,Medium
xlsx,CVE-2024-22363,8.6,0.0010,0.431,Medium
cross-spawn,CVE-2024-21538,8.6,0.0007,0.430,Medium
lodash-es,CVE-2025-13465,8.0,0.0003,0.400,Medium
js-yaml,CVE-2025-64718,8.0,0.0002,0.400,Medium
common,CVE-2025-66035,7.5,0.0008,0.375,Low
minimatch,CVE-2026-26996,7.5,0.0004,0.375,Low
compiler,CVE-2025-66412,7.5,0.0004,0.375,Low
core,CVE-2026-22610,7.5,0.0002,0.375,Low
d3-color,GHSA-36jr-mh4h-2g58,7.5,0.0000,0.375,Low
ajv,CVE-2025-69873,5.0,0.0007,0.250,Low
